ontemporém|on-tem-po-rém
quenamoças|que-na-mo-ças
únicomédia|úni-co-mé-dia
idadebaile|ida-de-bai-le
meirapaís|mei-ra-pa-ís
aparealguns|apa-re-al-guns
ernesseme|er-nes-se-me
essejosé|es-se-jo-sé
coropapel|co-ro-pa-pel
janecessi|ja-ne-ces-si
janelevou|ja-ne-le-vou
pareagem|pa-re-a-gem
berdadeixar|ber-da-dei-xar
terespondeu|te-res-pon-deu
desseráter|des-se-rá-ter
verdadeixar|ver-da-dei-xar
caminutos|ca-mi-nu-tos
menossoa|me-nos-so-a
osilêncio|o-si-lên-cio
sociesia|so-ci-e-sia
ouviúva|ou-vi-ú-va
cedocebeu|ce-do-ce-beu
comédias|co-mé-di-as
ontempobre|on-tem-po-bre
mariobras|ma-ri-o-bras
sempresentiu|sem-pre-sen-tiu
olhouvelha|ol-hou-ve-lha
debaileza|de-bai-le-za
criaboas|cri-a-bo-as
parealgum|pa-re-al-gum
nessejosé|nes-se-jo-sé
pareachei|pa-re-a-chei
ropalavras|ro-pa-la-vras
sempresentiu|sem-pre-sen-tiu
públicomum|pú-bli-co-mum
zendoenfim|zen-do-en-fim
médiambos|mé-di-am-bos
josécular|jo-sé-cu-lar
ouviagem|ou-vi-a-gem
ouropazes|ou-ro-pa-zes
ropareceu|ro-pa-re-ceu
modoenfim|mo-do-en-fim
curisono|cu-ri-so-no
esparecia|es-pa-re-cia
faltademais|fal-ta-de-mais
espírio|es-pí-ri-o
olhouvezes|ol-hou-ve-zes
amigostodos|ami-gos-to-dos
turealguns|tu-re-al-guns
assuntodos|as-sun-to-dos
realguma|re-al-gu-ma
podizendo|po-di-zen-do
imaginaque|ima-gi-na-que
cessidentro|ces-si-den-tro
preciesia|pre-ci-e-sia
espodizia|es-po-di-zia
parealguns|pa-re-al-guns
ondebaixo|on-de-bai-xo
sécuriso|sé-cu-ri-so
médigover|mé-di-go-ver
queromance|que-ro-man-ce
acimaneiro|aci-ma-nei-ro
meropanhia|me-ro-pa-nhia
caminutos|ca-mi-nu-tos
forapapel|fo-ra-pa-pel
gabinenhum|ga-bi-ne-nhum
turealgum|tu-re-al-gum
dissoachei|dis-so-a-chei
públicome|pú-bli-co-me
espírio|es-pí-ri-o
porquelevou|por-que-le-vou
podicomo|po-di-co-mo
enquantodas|en-quan-to-das
