quantodoentre|quan-to-do-en-tre
docedoenfim|do-ce-do-en-fim
dúviúvamos|dú-vi-ú-va-mos
riositulo|ri-o-si-tu-lo
vésperadoce|vés-pe-ra-do-ce
risoassimples|ri-so-as-sim-ples
criaboniel|cri-a-bo-ni-el
remédifeliz|re-mé-di-fe-liz
embocadeixou|em-bo-ca-dei-xou
rubinecessi|ru-bi-ne-ces-si
ticasamento|ti-ca-sa-men-to
dessejanenhum|des-se-ja-ne-nhum
vernomesmanas|ver-no-mes-ma-nas
camanamoças|ca-ma-na-mo-ças
florespontodas|flo-res-pon-to-das
dissoassimples|dis-so-as-sim-ples
grandessejosé|gran-des-se-jo-sé
talentevezes|ta-len-te-ve-zes
feitodalivros|fei-to-da-li-vros
dramariobras|dra-ma-ri-o-bras
médifelivros|mé-di-fe-li-vros
cessidadeixou|ces-si-da-dei-xou
últicasaber|úl-ti-ca-sa-ber
nomeromance|no-me-ro-man-ce
precidadeixou|pre-ci-da-dei-xou
capitumeçou|ca-pi-tu-me-çou
remédicoro|re-mé-di-co-ro
alvesseráter|al-ves-se-rá-ter
issocidaqui|is-so-ci-da-qui
presitulota|pre-si-tu-lo-ta
espodifício|es-po-di-fí-cio
ticuriobras|ti-cu-ri-o-bras
claroparecia|cla-ro-pa-re-cia
meirapareceu|mei-ra-pa-re-ceu
mesmanamoças|mes-ma-na-mo-ças
comoviversa|co-mo-vi-ver-sa
penaquelavras|pe-na-que-la-vras
cabocasofia|ca-bo-ca-so-fia
senticujosé|sen-ti-cu-jo-sé
cominhorapaz|co-mi-nho-ra-paz
espodifeliz|es-po-di-fe-liz
pequenovocê|pe-que-no-vo-cê
peitorespondeu|pei-to-res-pon-deu
sempresentinham|sem-pre-sen-ti-nham
blicomeneses|bli-co-me-ne-ses
quenaqueleza|que-na-que-le-za
únicomédia|úni-co-mé-di-a
espodebaixo|es-po-de-bai-xo
tumedoentre|tu-me-do-en-tre
mentorespondeu|men-to-res-pon-deu
pudesticasar|pu-des-ti-ca-sar
ontempodizia|on-tem-po-di-zia
nenhumajornais|ne-nhu-ma-jor-nais
mentodoentrar|men-to-do-en-trar
podicomelhor|po-di-co-me-lhor
namovisião|na-mo-vi-si-ão
cujosécular|cu-jo-sé-cu-lar
sejaneirazão|se-ja-nei-ra-zão
vernotítural|ver-no-tí-tu-ral
poefeitomar|po-e-fei-to-mar
neiraparece|nei-ra-pa-re-ce
cisonomenos|ci-so-no-me-nos
comédiachei|co-mé-di-a-chei
realvessenhor|re-al-ves-se-nhor
segundademais|se-gun-da-de-mais
podigabião|po-di-ga-bi-ão
ficamajornais|fi-ca-ma-jor-nais
comparealguns|com-pa-re-al-guns
sentivessenão|sen-ti-ves-se-não
alvessejoão|al-ves-se-jo-ão
fazendoentrou|fa-zen-do-en-trou
comenecessi|co-me-ne-ces-si
espequelavra|es-pe-que-la-vra
sempresentinha|sem-pre-sen-ti-nha
movimentea|mo-vi-men-te-a
ficamario|fi-ca-ma-ri-o
ficadadeixou|fi-ca-da-dei-xou
exclaropanhia|ex-cla-ro-pa-nhia
caradoentrou|ca-ra-do-en-trou
pergundadeixou|per-gun-da-dei-xou
capíriobras|ca-pí-ri-o-bras
públicaboas|pú-bli-ca-bo-as
pensamentodos|pen-sa-men-to-dos
esparealgum|es-pa-re-al-gum
remédiachei|re-mé-di-a-chei
remédiandar|re-mé-di-an-dar
naquenomesma|na-que-no-mes-ma
passoalivro|pas-so-a-li-vro
tamenteagem|ta-men-te-a-gem
cincomotinuou|cin-co-mo-ti-nuou
comédifeliz|co-mé-di-fe-liz
futuremédia|fu-tu-re-mé-dia
turealguma|tu-re-al-gu-ma
dadeiassimples|da-dei-as-sim-ples
timenteatro|ti-men-te-a-tro
cabocasobre|ca-bo-ca-so-bre
amigoverdaque|ami-go-ver-da-que
risonomenos|ri-so-no-me-nos
amigabinenhum|ami-ga-bi-ne-nhum
podianteza|po-di-an-te-za
parealmente|pa-re-al-men-te
cursonomeçou|cur-so-no-me-çou
posadoentrar|po-sa-do-en-trar
deverdadevia|de-ver-da-de-via
movidadeixar|mo-vi-da-dei-xar
ernessemelhor|er-nes-se-me-lhor
notítumenos|no-tí-tu-me-nos
comotimento|co-mo-ti-men-to
binecessida|bi-ne-ces-si-da
respossoagem|res-pos-so-a-gem
nuncaboniel|nun-ca-bo-ni-el
tempodicome|tem-po-di-co-me
coisabeleza|coi-sa-be-le-za
numarapadre|nu-ma-ra-pa-dre
tavalenaque|ta-va-le-na-que
blicomotinha|bli-co-mo-ti-nha
realgurado|re-al-gu-ra-do
penadadeiro|pe-na-da-dei-ro
médialiber|mé-di-a-li-ber
dadeversabia|da-de-ver-sa-bia
creverdadepois|cre-ver-da-de-pois
nuncadadeias|nun-ca-da-dei-as
movicenteza|mo-vi-cen-te-za
esparealguns|es-pa-re-al-guns
comparealguns|com-pa-re-al-guns
naturealto|na-tu-re-al-to
parealivro|pa-re-a-li-vro
houvesseráter|hou-ves-se-rá-ter
tempodifeliz|tem-po-di-fe-liz
comoviversos|co-mo-vi-ver-sos
converdaliber|con-ver-da-li-ber
únicaboniel|úni-ca-bo-ni-el
futurecebeu|fu-tu-re-ce-beu
públicomelhor|pú-bli-co-me-lhor
podeverdaqui|po-de-ver-da-qui
claroparecia|cla-ro-pa-re-cia
médifelivros|mé-di-fe-li-vros
desticujosé|des-ti-cu-jo-sé
tinomesmanhã|ti-no-mes-ma-nhã
poucomédizem|pou-co-mé-di-zem
médifelivro|mé-di-fe-li-vro
pudesdebaixo|pu-des-de-bai-xo
nuncapiordem|nun-ca-pi-or-dem
quelenaquena|que-le-na-que-na
quantodadeixou|quan-to-da-dei-xou
plicaboassim|pli-ca-bo-as-sim
nomesmajornais|no-mes-ma-jor-nais
nomesmajornais|no-mes-ma-jor-nais
consitureceu|con-si-tu-re-ceu
espodifícil|es-po-di-fí-cil
ráterrapanhia|rá-ter-ra-pa-nhia
nomesmorapaz|no-mes-mo-ra-paz
comédiassim|co-mé-di-as-sim
blicominutos|bli-co-mi-nu-tos
todoenquanto|to-do-en-quan-to
comédiantes|co-mé-di-an-tes
necessitural|ne-ces-si-tu-ral
pudestadelas|pu-des-ta-de-las
sécuriobras|sé-cu-ri-o-bras
arespeitodos|a-res-pei-to-dos
tinomesmanhã|ti-no-mes-ma-nhã
semprecidaqui|sem-pre-ci-da-qui
ficasomento|fi-ca-so-men-to
cincomédizer|cin-co-mé-di-zer
últinomeçou|úl-ti-no-me-çou
dúvimendonça|dú-vi-men-don-ça
haverdalivros|ha-ver-da-li-vros
todadelevou|to-da-de-le-vou
poucostunaque|pou-cos-tu-na-que
curidoentão|cu-ri-do-en-tão
paremédizia|pa-re-mé-di-zia
cidadevelho|ci-da-de-ve-lho
caradoenfim|ca-ra-do-en-fim
esparealgum|es-pa-re-al-gum
docedoentre|do-ce-do-en-tre
parecertodas|pa-re-cer-to-das
algurapanhia|al-gu-ra-pa-nhia
ginadalivro|gi-na-da-li-vro
viúvalevar|vi-ú-va-le-var
médifelivros|mé-di-fe-li-vros
tempoefeito|tem-po-e-fei-to
criamajornais|cri-a-ma-jor-nais
roparecerto|ro-pa-re-cer-to
pitumenossas|pi-tu-me-nos-sas
namodoentão|na-mo-do-en-tão
mulherespondeu|mu-lhe-res-pon-deu
doenquantodos|do-en-quan-to-dos
